The battery life is great on this device.,pos
The battery lasts a long time.,pos
On the Galaxy S9 the battery lasts all day.,pos
I was getting an all day battery life on this phone.,pos
I was getting a very long screen on time with this device.,pos
The iPhone X has an impressive battery life.,pos
This device lasts me all day.,pos
To me the device lasts me a long time,pos
The battery lasts a long time.,pos
So far the battery life has been fantastic.,pos
Throughout the day I didn't feel any need to charge my phone.,pos
I felt like I didn't have to charge my phone anymore.,pos
The battery life truly has been amazing.,pos
I'm getting an all day battery life with little bit to spare.,pos
I never felt the need to charge my phone twice a day.,pos
This device has a good battery life.,pos
I have not been disappointed by this battery life.,pos
THe battery has never disappointed me.,pos
THe battery has not disappointed me.,pos
No battery disappointments here.,pos
The phone lasts such a long time.,pos
I absolutely love the fact that this phone lasts a very long time.,pos
I love this battery life so much.,pos
Me and my friend are loving the battery life on this device.,pos
I absolutely love the battery life.,pos
No battery disappointments here.,pos
The battery life is pretty good.,pos
Such a great battery life.,pos
The battery life is really long.,pos
What a great battery life for a phone.,pos
I have been getting a truly great battery life.,pos
So far this is the only device I've used that lasted me all day.,pos
This phone has a battery that meets all my needs.,pos
This smartphone battery has been better than my previous phones.,pos
The battery life is not great on this device.,neg
The battery lasts a short time.,neg
On the Galaxy S9 the battery does not last all day.,neg
I was not able to get all day battery life on this phone.,neg
I was getting only few hours of screen on time with this device.,neg
The iPhone X has a horrible battery life.,neg
This battery life is horrible.,neg
I think this devide has a horrible battery life.,neg
This device does not last me all day.,neg
To me the device lasts me a short time,neg
The battery lasts a short time.,neg
So far the battery life has been poor.,neg
Throughout the day I had to charge my phone few times.,neg
I always felt the need to charge my phone.,neg
I felt like I had to charge my phone few times a day.,neg
The battery life has not been great.,neg
At the end of the day I'm barely left with enough battery left.,neg
I always felt like I needed to charge more than once a day.,neg
This device has a bad battery life.,neg
I really haven't been getting a great battery life.,neg
So far I really haven't been experiencing a good battery life.,neg
I have been getting a bad battery life.,neg
Battery life hasn't been fantastic for me.,neg
I have been extremely disappointed with the battery life.,neg
This phone is great but the battery life has been very disappointing.,neg
The battery is just absolutely disappointing.,neg
Battery life has been the most disappointing part of this phone.,neg
This battery disappointed me so many times.,neg
I have been very disappionted with this battery.,neg
The phone is great but the battery life is a disappointment.,neg
I can say I am very disappointed by the battery life.,neg
I can not say I love the battery life.,neg
I do not love the battery life.,neg
The battery life is pretty bad.,neg
I wish the battery life was better., neg
I wish the battery life could be better., neg
I wish the battery would last longer., neg
I hope the battery life could be better., neg
I realized that the battery does not last me all day., neg
Battery has not been lasting me all day., neg
The battery life has not been lasting a long time., neg
This battery life was not lasting a long time., neg
This phone has a battery that is not lasting a long time., neg
The battery life has not been lasting a full day., neg
I do not like how short the battery lasts., neg
The battery does not last long., neg
The battery needs to last longer., neg
I am not liking how long the battery lasts., neg
The battery life is not long., neg
I have been happy with past phones and this phone does last me all day., neg
After using this phone for a while I realized it doesn't last a long time., neg
